Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Sat, Apr 15, 2023",1:00p,Brooklyn Nets,101,Philadelphia 76ers,121,Box Score,,"20,913",Wells Fargo Center,
"Sat, Apr 15, 2023",3:30p,Atlanta Hawks,99,Boston Celtics,112,Box Score,,"19,156",TD Garden,
"Sat, Apr 15, 2023",6:00p,New York Knicks,101,Cleveland Cavaliers,97,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sat, Apr 15, 2023",8:30p,Golden State Warriors,123,Sacramento Kings,126,Box Score,,"18,253",Golden 1 Center,
"Sun, Apr 16, 2023",3:00p,Los Angeles Lakers,128,Memphis Grizzlies,112,Box Score,,"18,487",FedEx Forum,
"Sun, Apr 16, 2023",5:30p,Miami Heat,130,Milwaukee Bucks,117,Box Score,,"17,381",Fiserv Forum,
"Sun, Apr 16, 2023",8:00p,Los Angeles Clippers,115,Phoenix Suns,110,Box Score,,"17,071",Footprint Center,
"Sun, Apr 16, 2023",10:30p,Minnesota Timberwolves,80,Denver Nuggets,109,Box Score,,"19,628",Ball Arena,
"Mon, Apr 17, 2023",7:30p,Brooklyn Nets,84,Philadelphia 76ers,96,Box Score,,"20,958",Wells Fargo Center,
"Mon, Apr 17, 2023",10:00p,Golden State Warriors,106,Sacramento Kings,114,Box Score,,"18,253",Golden 1 Center,
"Tue, Apr 18, 2023",7:00p,Atlanta Hawks,106,Boston Celtics,119,Box Score,,"19,156",TD Garden,
"Tue, Apr 18, 2023",7:30p,New York Knicks,90,Cleveland Cavaliers,107,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Tue, Apr 18, 2023",10:00p,Los Angeles Clippers,109,Phoenix Suns,123,Box Score,,"17,071",Footprint Center,
"Wed, Apr 19, 2023",7:30p,Los Angeles Lakers,93,Memphis Grizzlies,103,Box Score,,"17,928",FedEx Forum,
"Wed, Apr 19, 2023",9:00p,Miami Heat,122,Milwaukee Bucks,138,Box Score,,"17,576",Fiserv Forum,
"Wed, Apr 19, 2023",10:00p,Minnesota Timberwolves,113,Denver Nuggets,122,Box Score,,"19,683",Ball Arena,
"Thu, Apr 20, 2023",7:30p,Philadelphia 76ers,102,Brooklyn Nets,97,Box Score,,"17,91",Barclays Center,
"Thu, Apr 20, 2023",10:00p,Sacramento Kings,97,Golden State Warriors,114,Box Score,,"18,064",Chase Center,
"Thu, Apr 20, 2023",10:30p,Phoenix Suns,129,Los Angeles Clippers,124,Box Score,,"19,068",Crypto.com Arena,
"Fri, Apr 21, 2023",7:00p,Boston Celtics,122,Atlanta Hawks,130,Box Score,,"18,536",State Farm Arena,
